value
Salvatore Sirigu
Giovanni Di Lorenzo
Giorgio Chiellini (captain)
Leonardo Spinazzola
Manuel Locatelli
Marco Verratti
Gaetano Castrovilli
Jorginho
Andrea Belotti
Lorenzo Insigne
Domenico Berardi
Matteo Pessina
Emerson
Federico Chiesa
Francesco Acerbi
Bryan Cristante
Ciro Immobile
Nicolò Barella
Leonardo Bonucci
Federico Bernardeschi
Gianluigi Donnarumma
Giacomo Raspadori
Alessandro Bastoni
Alessandro Florenzi
Rafael Toloi
Alex Meret
Yann Sommer
Kevin Mbabu
Silvan Widmer
Nico Elvedi
Manuel Akanji
Denis Zakaria
Breel Embolo
Remo Freuler
Haris Seferović
Granit Xhaka (captain)
Ruben Vargas
Yvon Mvogo
Ricardo Rodríguez
Steven Zuber
Djibril Sow
Christian Fassnacht
Loris Benito
Admir Mehmedi
Mario Gavranović
Edimilson Fernandes
Jonas Omlin (until 13 June)
Gregor Kobel (from 13 June)
Fabian Schär
Xherdan Shaqiri
Bećir Omeragić
Eray Cömert
Jordan Lotomba
Mert Günok
Zeki Çelik
Merih Demiral
Çağlar Söyüncü
Okay Yokuşlu
Ozan Tufan
Cengiz Ünder
Dorukhan Toköz
Kenan Karaman
Hakan Çalhanoğlu
Yusuf Yazıcı
Altay Bayındır
Umut Meraş
Taylan Antalyalı
Ozan Kabak
Enes Ünal
Burak Yılmaz (captain)
Rıdvan Yılmaz
Orkun Kökçü
Abdülkadir Ömür
İrfan Kahveci
Kaan Ayhan
Uğurcan Çakır
Kerem Aktürkoğlu
Mert Müldür
Halil Dervişoğlu
Wayne Hennessey
Chris Gunter
Neco Williams
Ben Davies
Tom Lockyer
Joe Rodon
Joe Allen
Harry Wilson
Tyler Roberts
Aaron Ramsey
Gareth Bale (captain)
Danny Ward
Kieffer Moore
Connor Roberts
Ethan Ampadu
Joe Morrell
Rhys Norrington-Davies
Jonny Williams
David Brooks
Daniel James
Adam Davies
Chris Mepham
Dylan Levitt
Ben Cabango
Rubin Colwill
Matthew Smith
Thibaut Courtois
Toby Alderweireld
Thomas Vermaelen
Dedryck Boyata
Jan Vertonghen
Axel Witsel
Kevin De Bruyne
Youri Tielemans
Romelu Lukaku
Eden Hazard (captain)
Yannick Carrasco
Simon Mignolet
Matz Sels
Dries Mertens
Thomas Meunier
Thorgan Hazard
Hans Vanaken
Jason Denayer
Leander Dendoncker
Christian Benteke
Timothy Castagne
Nacer Chadli
Michy Batshuayi
Leandro Trossard
Jérémy Doku
Dennis Praet
Kasper Schmeichel
Joachim Andersen
Jannik Vestergaard
Simon Kjær (captain)
Joakim Mæhle
Andreas Christensen
Robert Skov
Thomas Delaney
Martin Braithwaite
Christian Eriksen
Andreas Skov Olsen
Kasper Dolberg
Mathias Jørgensen
Mikkel Damsgaard
Christian Nørgaard
Jonas Lössl
Jens Stryger Larsen
Daniel Wass
Jonas Wind
Yussuf Poulsen
Andreas Cornelius
Frederik Rønnow
Pierre-Emile Højbjerg
Mathias Jensen
Anders Christiansen
Nicolai Boilesen
Lukáš Hrádecký
Paulus Arajuuri
Daniel O'Shaughnessy
Joona Toivio
Leo Väisänen
Glen Kamara
Robert Taylor
Robin Lod
Fredrik Jensen
Teemu Pukki
Rasmus Schüller
Jesse Joronen
Pyry Soiri
Tim Sparv (captain)
Niko Hämäläinen
Thomas Lam
Nikolai Alho
Jere Uronen
Joni Kauko
Joel Pohjanpalo
Lassi Lappalainen
Jukka Raitala
Anssi Jaakkola
Onni Valakari
Robert Ivanov
Marcus Forss
Anton Shunin
Mário Fernandes
Igor Diveev
Vyacheslav Karavayev
Andrei Semyonov
Denis Cheryshev
Magomed Ozdoyev
Dmitri Barinov
Aleksandr Sobolev
Anton Zabolotny
Roman Zobnin
Yury Dyupin
Fyodor Kudryashov
Georgi Dzhikiya
Aleksei Miranchuk
Matvei Safonov
Aleksandr Golovin
Yuri Zhirkov
Rifat Zhemaletdinov
Aleksei Ionov
Daniil Fomin
Artem Dzyuba (captain)
Daler Kuzyayev
Roman Yevgenyev
Denis Makarov
Maksim Mukhin
Alexander Schlager
Andreas Ulmer
Aleksandar Dragović
Martin Hinteregger
Stefan Posch
Stefan Ilsanker
Marko Arnautović
David Alaba
Marcel Sabitzer
Florian Grillitsch
Michael Gregoritsch
Pavao Pervan
Daniel Bachmann
Julian Baumgartlinger (captain)
Philipp Lienhart
Christopher Trimmel
Louis Schaub
Alessandro Schöpf
Christoph Baumgartner
Karim Onisiwo
Stefan Lainer
Valentino Lazaro
Xaver Schlager
Konrad Laimer
Saša Kalajdžić
Marco Friedl
Maarten Stekelenburg
Joël Veltman
Matthijs de Ligt
Nathan Aké
Owen Wijndal
Stefan de Vrij
Steven Berghuis
Georginio Wijnaldum (captain)
Luuk de Jong
Memphis Depay
Quincy Promes
Patrick van Aanholt
Tim Krul
Davy Klaassen
Marten de Roon
Ryan Gravenberch
Daley Blind
Donyell Malen
Wout Weghorst
Frenkie de Jong
Denzel Dumfries
Marco Bizot
Teun Koopmeiners
Jurriën Timber
Cody Gakpo
Stole Dimitrievski
Egzon Bejtulai
Gjoko Zajkov
Kire Ristevski
Arijan Ademi
Visar Musliu
Ivan Trichkovski
Ezgjan Alioski
Aleksandar Trajkovski
Goran Pandev (captain)
Ferhan Hasani
Risto Jankov
Stefan Ristovski
Darko Velkovski
Tihomir Kostadinov
Boban Nikolov
Enis Bardhi
Vlatko Stojanovski
Krste Velkoski
Stefan Spirovski
Elif Elmas
Damjan Shishkovski
Marjan Radeski
Daniel Avramovski
Darko Churlinov
Milan Ristovski
Heorhiy Bushchan
Eduard Sobol
Heorhiy Sudakov
Serhiy Kryvtsov
Serhiy Sydorchuk
Taras Stepanenko
Andriy Yarmolenko
Ruslan Malinovskyi
Roman Yaremchuk
Mykola Shaparenko
Marlos
Andriy Pyatov (captain)
Illya Zabarnyi
Yevhenii Makarenko
Viktor Tsyhankov
Vitaliy Mykolenko
Oleksandr Zinchenko
Roman Bezus
Artem Besyedin
Oleksandr Zubkov
Oleksandr Karavayev
Mykola Matviyenko
Anatoliy Trubin
Oleksandr Tymchyk
Denys Popov
Artem Dovbyk
Dominik Livaković
Šime Vrsaljko
Borna Barišić
Ivan Perišić
Duje Ćaleta-Car
Dejan Lovren
Josip Brekalo
Mateo Kovačić
Andrej Kramarić
Luka Modrić (captain)
Marcelo Brozović
Lovre Kalinić
Nikola Vlašić
Ante Budimir
Mario Pašalić
Mile Škorić
Ante Rebić
Mislav Oršić
Milan Badelj
Bruno Petković
Domagoj Vida
Josip Juranović
Simon Sluga
Domagoj Bradarić
Joško Gvardiol
Luka Ivanušec
Tomáš Vaclík
Pavel Kadeřábek
Ondřej Čelůstka
Jakub Brabec
Vladimír Coufal
Tomáš Kalas
Antonín Barák
Vladimír Darida (captain)
Tomáš Holeš
Patrik Schick
Michael Krmenčík
Lukáš Masopust
Petr Ševčík
Jakub Jankto
Tomáš Souček
Aleš Mandous
David Zima
Jan Bořil
Adam Hložek
Matěj Vydra
Alex Král
Aleš Matějů
Tomáš Koubek
Tomáš Pekhart
Jakub Pešek
Michal Sadílek
Jordan Pickford
Kyle Walker
Luke Shaw
Declan Rice
John Stones
Harry Maguire
Jack Grealish
Jordan Henderson
Harry Kane (captain)
Raheem Sterling
Marcus Rashford
Kieran Trippier
Dean Henderson (until 15 June)
Aaron Ramsdale (from 15 June)
Kalvin Phillips
Tyrone Mings
Conor Coady
Jadon Sancho
Dominic Calvert-Lewin
Mason Mount
Phil Foden
Ben Chilwell
Ben White
Sam Johnstone
Reece James
Bukayo Saka
Jude Bellingham
David Marshall
Stephen O'Donnell
Andrew Robertson (captain)
Scott McTominay
Grant Hanley
Kieran Tierney
John McGinn
Callum McGregor
Lyndon Dykes
Ché Adams
Ryan Christie
Craig Gordon
Greg Taylor
John Fleck
Declan Gallagher
Liam Cooper
Stuart Armstrong
David Turnbull
Kevin Nisbet
Ryan Fraser
Jon McLaughlin
Nathan Patterson
Billy Gilmour
Jack Hendry
James Forrest
Scott McKenna
Wojciech Szczęsny
Kamil Piątkowski
Paweł Dawidowicz
Tomasz Kędziora
Jan Bednarek
Kacper Kozłowski
Karol Linetty
Robert Lewandowski (captain)
Grzegorz Krychowiak
Karol Świderski
Łukasz Skorupski
Maciej Rybus
Mateusz Klich
Kamil Glik
Jakub Moder
Przemysław Płacheta
Bartosz Bereszyński
Przemysław Frankowski
Piotr Zieliński
Kamil Jóźwiak
Łukasz Fabiański
Dawid Kownacki
Jakub Świerczok
Michał Helik
Tymoteusz Puchacz
Martin Dúbravka
Peter Pekarík
Denis Vavro
Martin Valjent
Ľubomír Šatka
Ján Greguš
Vladimír Weiss
Ondrej Duda
Róbert Boženík
Tomáš Suslov
László Bénes
Dušan Kuciak
Patrik Hrošovský
Milan Škriniar
Tomáš Hubočan
Dávid Hancko
Marek Hamšík (captain)
Lukáš Haraslín
Juraj Kucka
Róbert Mak
Michal Ďuriš
Stanislav Lobotka
Marek Rodák
Martin Koscelník
Jakub Hromada
Ivan Schranz
David de Gea
César Azpilicueta
Diego Llorente
Pau Torres
Sergio Busquets (captain)
Marcos Llorente
Álvaro Morata
Koke
Gerard Moreno
Thiago
Ferran Torres
Eric García
Robert Sánchez
José Gayà
Rodri
Fabián Ruiz
Jordi Alba
Dani Olmo
Adama Traoré
Mikel Oyarzabal
Pablo Sarabia
Unai Simón
Aymeric Laporte
Pedri
Robin Olsen
Mikael Lustig
Victor Lindelöf
Andreas Granqvist (captain)
Pierre Bengtsson
Ludwig Augustinsson
Sebastian Larsson
Albin Ekdal
Marcus Berg
Emil Forsberg
Alexander Isak
Karl-Johan Johnsson
Gustav Svensson
Filip Helander
Ken Sema
Emil Krafth
Viktor Claesson
Pontus Jansson
Mattias Svanberg
Kristoffer Olsson
Dejan Kulusevski
Robin Quaison
Kristoffer Nordfeldt
Marcus Danielson
Jordan Larsson
Jens Cajuste
Hugo Lloris (captain)
Benjamin Pavard
Presnel Kimpembe
Raphaël Varane
Clément Lenglet
Paul Pogba
Antoine Griezmann
Thomas Lemar
Olivier Giroud
Kylian Mbappé
Ousmane Dembélé
Corentin Tolisso
N'Golo Kanté
Adrien Rabiot
Kurt Zouma
Steve Mandanda
Moussa Sissoko
Lucas Digne
Karim Benzema
Kingsley Coman
Lucas Hernandez
Wissam Ben Yedder
Mike Maignan
Léo Dubois
Jules Koundé
Marcus Thuram
Manuel Neuer (captain)
Antonio Rüdiger
Marcel Halstenberg
Matthias Ginter
Mats Hummels
Joshua Kimmich
Kai Havertz
Toni Kroos
Kevin Volland
Serge Gnabry
Timo Werner
Bernd Leno
Jonas Hofmann
Jamal Musiala
Niklas Süle
Lukas Klostermann
Florian Neuhaus
Leon Goretzka
Leroy Sané
Robin Gosens
İlkay Gündoğan
Kevin Trapp
Emre Can
Robin Koch
Thomas Müller
Christian Günter
Péter Gulácsi
Ádám Lang
Ákos Kecskés
Attila Szalai
Attila Fiola
Willi Orbán
Loïc Négo
Ádám Nagy
Ádám Szalai (captain)
Tamás Cseri
Filip Holender
Dénes Dibusz
András Schäfer
Gergő Lovrencsics
László Kleinheisler
Dániel Gazdag
Roland Varga
Dávid Sigér
Kevin Varga
Roland Sallai
Endre Botka
Ádám Bogdán
Nemanja Nikolić
Szabolcs Schön
János Hahn
Bendegúz Bolla
Rui Patrício
Nélson Semedo
Pepe
Rúben Dias
Raphaël Guerreiro
José Fonte
Cristiano Ronaldo (captain)
João Moutinho
André Silva
Bernardo Silva
Bruno Fernandes
Anthony Lopes
Danilo Pereira
William Carvalho
Rafa Silva
Renato Sanches
Gonçalo Guedes
Rúben Neves
Pedro Gonçalves
Diogo Dalot
Diogo Jota
Rui Silva
João Félix
Sérgio Oliveira
Nuno Mendes
João Palhinha
